dress_id,rgb,classified_color
B008BHCT58,"[35, 35, 45]",black
B008KZR6WM,"[22, 19, 20]",black
B00684UYEE,"[213, 188, 169]",white
B00EV1B9C2,"[29, 29, 29]",black
B00CTSFYSE,"[195, 207, 211]",white
B008ULB0PK,"[74, 55, 117]",black
B00C97K8TK,"[42, 42, 42]",black
B00C97K8TK,"[30, 30, 30]",black
B00C97K8TK,"[30, 30, 30]",black
B002GT074M,"[206, 199, 211]",white
B00BB7FN6C,"[222, 220, 99]",white
B009N9YUP0,"[184, 181, 179]",white
B00EOSK2DY,"[218, 218, 220]",white
B00EOSK2DY,"[23, 23, 24]",black
B00DYXGVW6,"[227, 227, 229]",white
B00A8FA3RW,"[9, 129, 135]",blue
B007CVK41K,"[249, 240, 239]",white
B007CVK41K,"[249, 240, 239]",white
B00G5N3J04,"[35, 34, 37]",black
B007EBPVAW,"[10, 186, 178]",green
B007EBPVAW,"[206, 207, 209]",white
B00FJDYWAC,"[51, 42, 45]",black
B005F059JM,"[108, 110, 113]",black
B005F059JM,"[107, 108, 111]",black
B005F059JM,"[109, 109, 112]",black
B004NRNQRU,"[25, 23, 23]",black
B008UWJHFO,"[70, 66, 69]",black
B008UWJHFO,"[233, 232, 232]",white
B00DGP705O,"[236, 92, 139]",red
B00438R7EM,"[250, 245, 246]",white
B00438R7EM,"[249, 245, 246]",white
B001E8XULI,"[215, 212, 210]",white
B001E8XULI,"[215, 213, 211]",white
B00CQ7LKS6,"[59, 57, 62]",black
B00A6FQH92,"[23, 22, 22]",black
B006WJ2LIW,"[90, 68, 92]",black
B006WJ2LIW,"[90, 68, 92]",black
B00BL4U932,"[11, 168, 203]",blue
B00BL4U932,"[11, 168, 203]",blue
B00E0WP2Y8,"[50, 62, 137]",blue
B009DMFFLK,"[246, 99, 51]",red
B009DMFFLK,"[241, 95, 51]",red
B008BRM2GY,"[245, 245, 245]",white
B00A8FAMPA,"[243, 239, 232]",white
B005MGDYAA,"[60, 63, 46]",black
B005MGDYAA,"[63, 66, 49]",black
B00APFED80,"[27, 30, 69]",black
B0051T2TSQ,"[19, 17, 18]",black
B0051T2TSQ,"[20, 18, 20]",black
B00E4NM9LW,"[32, 39, 55]",black
B00509LC3U,"[216, 211, 214]",white
B00509LC3U,"[206, 201, 205]",white
B00509LC3U,"[194, 188, 193]",white
B00ECWW762,"[81, 27, 63]",black
B006ZQW628,"[242, 238, 240]",white
B009KP6QZO,"[41, 149, 136]",green
B009KP6QZO,"[47, 154, 140]",green
